fault	arm	suffix	steps	final_mount	readback	violated	isolated_per_device	isolated_by_check	isolated_at_mount	free_minus_allocatable	check_reads	check_read_bytes	switches	reads_refused	check_events
F7-map-bug-leaf-same-publish	N1A-any-isoAll-mem	MFOO	M:ok F:noop O:ok O:ok	ok	same	-	[0, 0]	0	0	[0, 0]	16	327680	0	0	-
F7-map-bug-leaf-same-publish	N1A-any-isoAll-mem	MMFF	M:ok M:ok F:noop F:noop	ok	same	-	[0, 0]	0	0	[0, 0]	8	131072	0	0	-
F7-map-bug-leaf-same-publish	N1A-any-isoAll-mem	MMFM	M:ok M:ok F:noop M:ok	ok	same	-	[0, 0]	0	0	[0, 0]	14	229376	0	0	-
F7-map-bug-leaf-same-publish	N1A-any-isoAll-mem	MMFO	M:ok M:ok F:noop O:ok	ok	same	-	[0, 0]	0	0	[0, 0]	14	262144	0	0	-
F7-map-bug-leaf-same-publish	N1A-any-isoAll-mem	MMMF	M:ok M:ok M:ok F:noop	ok	same	-	[0, 0]	0	0	[0, 0]	14	229376	0	0	-
F7-map-bug-leaf-same-publish	N1A-any-isoAll-mem	MMMM	M:ok M:ok M:ok M:ok	ok	same	-	[0, 0]	0	0	[0, 0]	20	327680	0	0	-
F7-map-bug-leaf-same-publish	N1A-any-isoAll-mem	MMOF	M:ok M:ok O:ok F:noop	ok	same	-	[0, 0]	0	0	[0, 0]	14	262144	0	0	-
F7-map-bug-leaf-same-publish	N1A-any-isoAll-mem	MMMO	M:ok M:ok M:ok O:ok	ok	same	-	[0, 0]	0	0	[0, 0]	20	360448	0	0	-
F7-map-bug-leaf-same-publish	N1A-any-isoAll-mem	MMOO	M:ok M:ok O:ok O:ok	ok	same	-	[0, 0]	0	0	[0, 0]	20	393216	0	0	-
F7-map-bug-leaf-same-publish	N1A-any-isoAll-mem	MMOM	M:ok M:ok O:ok M:ok	ok	same	-	[0, 0]	0	0	[0, 0]	18	327680	0	0	-
F7-map-bug-leaf-same-publish	N1A-any-isoAll-mem	MOFF	M:ok O:ok F:noop F:noop	ok	same	-	[0, 0]	0	0	[0, 0]	10	196608	0	0	-
F7-map-bug-leaf-same-publish	N1A-any-isoAll-mem	MOFO	M:ok O:ok F:noop O:ok	ok	same	-	[0, 0]	0	0	[0, 0]	16	327680	0	0	-
F7-map-bug-leaf-same-publish	N1A-any-isoAll-mem	MOFM	M:ok O:ok F:noop M:ok	ok	same	-	[0, 0]	0	0	[0, 0]	14	262144	0	0	-
F7-map-bug-leaf-same-publish	N1A-any-isoAll-mem	MOMF	M:ok O:ok M:ok F:noop	ok	same	-	[0, 0]	0	0	[0, 0]	14	262144	0	0	-
F7-map-bug-leaf-same-publish	N1A-any-isoAll-mem	MOMM	M:ok O:ok M:ok M:ok	ok	same	-	[0, 0]	0	0	[0, 0]	18	327680	0	0	-
F7-map-bug-leaf-same-publish	N1A-any-isoAll-mem	MOOF	M:ok O:ok O:ok F:ok(F=3,reclaimed=1)	ok	same	-	[0, 0]	0	0	[0, 0]	22	425984	0	0	-
F7-map-bug-leaf-same-publish	N1A-any-isoAll-mem	MOMO	M:ok O:ok M:ok O:ok	ok	same	-	[0, 0]	0	0	[0, 0]	20	393216	0	0	-
F7-map-bug-leaf-same-publish	N1A-any-isoAll-mem	MOOO	M:ok O:ok O:ok O:ok	ok	same	-	[0, 0]	0	0	[0, 0]	22	458752	0	0	-
F7-map-bug-leaf-same-publish	N1A-any-isoAll-mem	MOOM	M:ok O:ok O:ok M:ok	ok	same	-	[0, 0]	0	0	[0, 0]	22	425984	0	0	-
F7-map-bug-leaf-same-publish	N1A-any-isoAll-mem	OFFF	O:PANIC(同一个落点释放了两次：这块盘的记录是不是已释放由 transaction::placements_to_release_via_mappin) F:skip(panicked) F:skip(panicked) F:skip(panicked)	skip	same	-	[0, 0]	0	0	[0, 0]	7	163840	0	0	t1@50316:released-and-isolated
