E7RESULT name=config iters=2000000 rounds=5 inner=3 node_bytes=16384 node_hdr=64
E7RESULT name=derived arm=bing child_ptr=59 inode_entry=93 ledger_entry=81 root_record=194 tree_entry=121
E7RESULT name=derived arm=jia child_ptr=75 inode_entry=109 ledger_entry=97 root_record=226 tree_entry=137
E7RESULT name=e128 arm=ledger_bing entry_bytes=81 keys=8388608 round=1 slots=201 depth=4 nodes=41946 footprint_bytes=687243264 ns_per_lookup=560.64
E7RESULT name=e128 arm=ledger_bing entry_bytes=81 keys=8388608 round=2 slots=201 depth=4 nodes=41946 footprint_bytes=687243264 ns_per_lookup=564.19
E7RESULT name=e128 arm=ledger_bing entry_bytes=81 keys=8388608 round=3 slots=201 depth=4 nodes=41946 footprint_bytes=687243264 ns_per_lookup=562.78
E7RESULT name=e128 arm=ledger_bing entry_bytes=81 keys=8388608 round=4 slots=201 depth=4 nodes=41946 footprint_bytes=687243264 ns_per_lookup=563.03
E7RESULT name=e128 arm=ledger_jia entry_bytes=97 keys=2048 round=0 slots=168 depth=2 nodes=14 footprint_bytes=229376 ns_per_lookup=57.46
E7RESULT name=e128 arm=ledger_jia entry_bytes=97 keys=2048 round=1 slots=168 depth=2 nodes=14 footprint_bytes=229376 ns_per_lookup=57.55
E7RESULT name=e128 arm=ledger_jia entry_bytes=97 keys=2048 round=2 slots=168 depth=2 nodes=14 footprint_bytes=229376 ns_per_lookup=57.60
E7RESULT name=e128 arm=ledger_jia entry_bytes=97 keys=2048 round=3 slots=168 depth=2 nodes=14 footprint_bytes=229376 ns_per_lookup=57.50
E7RESULT name=e128 arm=ledger_jia entry_bytes=97 keys=2048 round=4 slots=168 depth=2 nodes=14 footprint_bytes=229376 ns_per_lookup=57.58
E7RESULT name=e128 arm=ledger_jia entry_bytes=97 keys=32768 round=0 slots=168 depth=3 nodes=199 footprint_bytes=3260416 ns_per_lookup=87.26
E7RESULT name=e128 arm=ledger_jia entry_bytes=97 keys=32768 round=1 slots=168 depth=3 nodes=199 footprint_bytes=3260416 ns_per_lookup=87.26
