E7RESULT name=config iters=2000000 rounds=5 inner=3 node_bytes=16384 node_hdr=64
E7RESULT name=derived arm=bing child_ptr=59 inode_entry=93 ledger_entry=81 root_record=194 tree_entry=121
E7RESULT name=derived arm=jia child_ptr=75 inode_entry=109 ledger_entry=97 root_record=226 tree_entry=137
E7RESULT name=e128 arm=ledger_jia entry_bytes=97 keys=524288 round=4 slots=168 depth=3 nodes=3141 footprint_bytes=51462144 ns_per_lookup=129.43
E7RESULT name=e128 arm=ledger_jia entry_bytes=97 keys=8388608 round=0 slots=168 depth=4 nodes=50234 footprint_bytes=823033856 ns_per_lookup=582.92
E7RESULT name=e128 arm=ledger_jia entry_bytes=97 keys=8388608 round=1 slots=168 depth=4 nodes=50234 footprint_bytes=823033856 ns_per_lookup=585.11
E7RESULT name=e128 arm=ledger_jia entry_bytes=97 keys=8388608 round=2 slots=168 depth=4 nodes=50234 footprint_bytes=823033856 ns_per_lookup=585.16
E7RESULT name=e128 arm=ledger_jia entry_bytes=97 keys=8388608 round=3 slots=168 depth=4 nodes=50234 footprint_bytes=823033856 ns_per_lookup=581.79
E7RESULT name=e128 arm=ledger_jia entry_bytes=97 keys=8388608 round=4 slots=168 depth=4 nodes=50234 footprint_bytes=823033856 ns_per_lookup=598.13
E7RESULT name=e128 arm=xdev_67 entry_bytes=67 keys=2048 round=0 slots=243 depth=2 nodes=10 footprint_bytes=163840 ns_per_lookup=61.06
E7RESULT name=e128 arm=xdev_67 entry_bytes=67 keys=2048 round=1 slots=243 depth=2 nodes=10 footprint_bytes=163840 ns_per_lookup=61.17
E7RESULT name=e128 arm=xdev_67 entry_bytes=67 keys=2048 round=2 slots=243 depth=2 nodes=10 footprint_bytes=163840 ns_per_lookup=61.21
E7RESULT name=e128 arm=xdev_67 entry_bytes=67 keys=2048 round=3 slots=243 depth=2 nodes=10 footprint_bytes=163840 ns_per_lookup=61.18
E7RESULT name=e128 arm=xdev_67 entry_bytes=67 keys=2048 round=4 slots=243 depth=2 nodes=10 footprint_bytes=163840 ns_per_lookup=61.32
