E7RESULT name=cell arm=G_txg_cap world=disk_loss s=4 lost_disk=1 fakes=0 unrecoverable=0 retention_violations=0 checks=2690 min_candidates=5 avg_candidates_x100=1174 avg_nonempty_x100=1164 min_states=2 avg_states_x100=1115 stalls=0
E7RESULT name=cell arm=G2R_tightened_roots world=disk_loss s=4 lost_disk=0 fakes=0 unrecoverable=0 retention_violations=0 checks=2690 min_candidates=2 avg_candidates_x100=1171 avg_nonempty_x100=1161 min_states=1 avg_states_x100=1112 stalls=0
E7RESULT name=cell arm=G2R_tightened_roots world=disk_loss s=4 lost_disk=1 fakes=0 unrecoverable=0 retention_violations=0 checks=2690 min_candidates=5 avg_candidates_x100=1174 avg_nonempty_x100=1164 min_states=2 avg_states_x100=1115 stalls=0
E7RESULT name=cell arm=G2S_tightened_states world=disk_loss s=4 lost_disk=0 fakes=0 unrecoverable=0 retention_violations=0 checks=2690 min_candidates=2 avg_candidates_x100=1171 avg_nonempty_x100=1161 min_states=1 avg_states_x100=1112 stalls=0
E7RESULT name=cell arm=G2S_tightened_states world=disk_loss s=4 lost_disk=1 fakes=0 unrecoverable=0 retention_violations=0 checks=2690 min_candidates=5 avg_candidates_x100=1174 avg_nonempty_x100=1164 min_states=2 avg_states_x100=1115 stalls=0
E7RESULT name=cell arm=G2R_mount world=disk_loss s=4 lost_disk=0 fakes=0 unrecoverable=0 retention_violations=0 checks=2690 min_candidates=2 avg_candidates_x100=1171 avg_nonempty_x100=1161 min_states=1 avg_states_x100=1112 stalls=0
E7RESULT name=cell arm=G2R_mount world=disk_loss s=4 lost_disk=1 fakes=0 unrecoverable=0 retention_violations=0 checks=2690 min_candidates=5 avg_candidates_x100=1174 avg_nonempty_x100=1164 min_states=2 avg_states_x100=1115 stalls=0
E7RESULT name=cell arm=A_ring_persisted world=disk_loss s=16 lost_disk=0 fakes=0 unrecoverable=0 retention_violations=0 checks=4364 min_candidates=16 avg_candidates_x100=4782 avg_nonempty_x100=4782 min_states=2 avg_states_x100=4187 stalls=0
E7RESULT name=cell arm=A_ring_persisted world=disk_loss s=16 lost_disk=1 fakes=0 unrecoverable=0 retention_violations=0 checks=4364 min_candidates=32 avg_candidates_x100=4791 avg_nonempty_x100=4791 min_states=2 avg_states_x100=4196 stalls=0
E7RESULT name=cell arm=C_k_runtime world=disk_loss s=16 lost_disk=0 fakes=188147 unrecoverable=0 retention_violations=0 checks=4364 min_candidates=16 avg_candidates_x100=4782 avg_nonempty_x100=4782 min_states=2 avg_states_x100=4187 stalls=0
E7RESULT name=cell arm=C_k_runtime world=disk_loss s=16 lost_disk=1 fakes=188493 unrecoverable=0 retention_violations=0 checks=4364 min_candidates=32 avg_candidates_x100=4791 avg_nonempty_x100=4791 min_states=2 avg_states_x100=4196 stalls=0
E7RESULT name=cell arm=D_floor_txg world=disk_loss s=16 lost_disk=0 fakes=0 unrecoverable=0 retention_violations=0 checks=4460 min_candidates=2 avg_candidates_x100=4632 avg_nonempty_x100=4620 min_states=1 avg_states_x100=4039 stalls=0
E7RESULT name=cell arm=D_floor_txg world=disk_loss s=16 lost_disk=1 fakes=0 unrecoverable=0 retention_violations=0 checks=4460 min_candidates=4 avg_candidates_x100=4633 avg_nonempty_x100=4621 min_states=2 avg_states_x100=4039 stalls=0
E7RESULT name=cell arm=G_floor_per_disk world=disk_loss s=16 lost_disk=0 fakes=0 unrecoverable=0 retention_violations=0 checks=4418 min_candidates=2 avg_candidates_x100=4670 avg_nonempty_x100=4664 min_states=1 avg_states_x100=4077 stalls=0
E7RESULT name=cell arm=G_floor_per_disk world=disk_loss s=16 lost_disk=1 fakes=0 unrecoverable=0 retention_violations=0 checks=4418 min_candidates=5 avg_candidates_x100=4671 avg_nonempty_x100=4665 min_states=2 avg_states_x100=4078 stalls=0
