## L0 (prefix)
| arm | states | outcome_differs | head_differs_vs_DING | unverified_install | read_error_truth_reads | durability_violations_truth_holds | durability_holds_truth_violates |
| IDX | 192 | 42 | 0 | 42 | 26 | 26 | 0 |
| IDXN | 192 | 0 | 42 | 0 | 0 | 0 | 0 |
| WALK | 192 | 0 | 42 | 0 | 0 | 0 | 0 |
| CUR_IMPL | 192 | 106 | 64 | 77 | 36 | 36 | 0 |

## SW-mem (prefix)
| arm | states | outcome_differs | head_differs_vs_DING | unverified_install | read_error_truth_reads | durability_violations_truth_holds | durability_holds_truth_violates |
|---|---|---|---|---|---|---|---|
| TRUTH6 | 192 | 0 | 52 | 0 | 0 | 0 | 0 |
| DING | 192 | 52 | 0 | 52 | 36 | 36 | 0 |
| DING_DROPLAST | 192 | 10 | 62 | 0 | 0 | 0 | 0 |
| YI | 192 | 52 | 0 | 52 | 36 | 36 | 0 |
| BING_R1 | 192 | 52 | 0 | 52 | 36 | 36 | 0 |
| T1_STRICT | 192 | 52 | 0 | 52 | 36 | 36 | 0 |
| T1_OPT | 192 | 54 | 2 | 54 | 36 | 36 | 0 |
| T1_TX_STRICT | 192 | 52 | 0 | 52 | 36 | 36 | 0 |
| T1_TX_OPT | 192 | 52 | 0 | 52 | 36 | 36 | 0 |
| FP_LAST | 192 | 0 | 52 | 0 | 0 | 0 | 0 |
| IDX | 192 | 52 | 0 | 52 | 36 | 36 | 0 |
| IDXN | 192 | 0 | 52 | 0 | 0 | 0 | 0 |
| WALK | 192 | 0 | 52 | 0 | 0 | 0 | 0 |
| CUR_IMPL | 192 | 109 | 57 | 96 | 64 | 64 | 0 |

## SW-ringmax (prefix)
| arm | states | outcome_differs | head_differs_vs_DING | unverified_install | read_error_truth_reads | durability_violations_truth_holds | durability_holds_truth_violates |
|---|---|---|---|---|---|---|---|
| TRUTH6 | 192 | 0 | 52 | 0 | 0 | 0 | 0 |
| DING | 192 | 52 | 0 | 52 | 36 | 36 | 0 |
| DING_DROPLAST | 192 | 10 | 62 | 0 | 0 | 0 | 0 |
| YI | 192 | 52 | 0 | 52 | 36 | 36 | 0 |
| BING_R1 | 192 | 52 | 0 | 52 | 36 | 36 | 0 |
| T1_STRICT | 192 | 52 | 0 | 52 | 36 | 36 | 0 |
| T1_OPT | 192 | 54 | 2 | 54 | 36 | 36 | 0 |
| T1_TX_STRICT | 192 | 52 | 0 | 52 | 36 | 36 | 0 |
| T1_TX_OPT | 192 | 52 | 0 | 52 | 36 | 36 | 0 |
| FP_LAST | 192 | 0 | 52 | 0 | 0 | 0 | 0 |
| IDX | 192 | 52 | 0 | 52 | 36 | 36 | 0 |
| IDXN | 192 | 0 | 52 | 0 | 0 | 0 | 0 |
| WALK | 192 | 0 | 52 | 0 | 0 | 0 | 0 |
| CUR_IMPL | 192 | 109 | 57 | 96 | 64 | 64 | 0 |

## L1-root+ring (ringmax)
| arm | states | outcome_differs | head_differs_vs_DING | unverified_install | read_error_truth_reads | durability_violations_truth_holds | durability_holds_truth_violates |
|---|---|---|---|---|---|---|---|
| TRUTH6 | 11356 | 0 | 1261 | 0 | 0 | 0 | 0 |
| DING | 11356 | 1261 | 0 | 1261 | 0 | 0 | 351 |
| DING_DROPLAST | 11356 | 2368 | 3629 | 0 | 0 | 1057 | 0 |
| YI | 11356 | 1261 | 0 | 1261 | 0 | 0 | 351 |
| BING_R1 | 11356 | 2254 | 1392 | 1016 | 0 | 483 | 351 |
| T1_STRICT | 11356 | 2254 | 1392 | 1016 | 0 | 483 | 351 |
| T1_OPT | 11356 | 2555 | 1294 | 2024 | 0 | 0 | 849 |
| T1_TX_STRICT | 11356 | 1296 | 175 | 1191 | 0 | 35 | 351 |
| T1_TX_OPT | 11356 | 1916 | 655 | 1661 | 0 | 0 | 386 |
| FP_LAST | 11356 | 0 | 1261 | 0 | 0 | 0 | 0 |
| IDX | 11356 | 1261 | 0 | 1261 | 0 | 0 | 351 |
| IDXN | 11356 | 0 | 1261 | 0 | 0 | 0 | 0 |
| WALK | 11356 | 531 | 1792 | 0 | 0 | 0 | 249 |
| CUR_IMPL | 11356 | 3143 | 1904 | 2120 | 0 | 213 | 870 |

## RB (prefix recovery rule; columns: uncommitted_differs / record_overwritten / unit_reused / head_or_other; committed_wrong)
| arm | counter rule | isolation | differs | overwritten | reused | head/other | committed_wrong | uncommitted states |
|---|---|---|---|---|---|---|---|---|
| TRUTH6 | old | shadow | 448 | 173 | 275 | 0 | 0 | 7100 |
| TRUTH6 | old | named | 173 | 173 | 0 | 0 | 0 | 7100 |
| TRUTH6 | old | reach | 173 | 173 | 0 | 0 | 0 | 7100 |
| TRUTH6 | mount | shadow | 378 | 0 | 378 | 0 | 0 | 7100 |
| TRUTH6 | mount | named | 0 | 0 | 0 | 0 | 0 | 7100 |
| TRUTH6 | mount | reach | 0 | 0 | 0 | 0 | 0 | 7100 |
| TRUTH6 | ringmax | shadow | 378 | 0 | 378 | 0 | 0 | 7100 |
| TRUTH6 | ringmax | named | 0 | 0 | 0 | 0 | 0 | 7100 |
| TRUTH6 | ringmax | reach | 0 | 0 | 0 | 0 | 0 | 7100 |
| DING | old | shadow | 706 | 237 | 437 | 32 | 0 | 7100 |
| DING | old | named | 431 | 237 | 0 | 194 | 0 | 7100 |
| DING | old | reach | 237 | 237 | 0 | 0 | 0 | 7100 |
| DING | mount | shadow | 636 | 0 | 594 | 42 | 0 | 7100 |
| DING | mount | named | 258 | 0 | 0 | 258 | 0 | 7100 |
| DING | mount | reach | 0 | 0 | 0 | 0 | 0 | 7100 |
| DING | ringmax | shadow | 636 | 0 | 594 | 42 | 0 | 7100 |
| DING | ringmax | named | 258 | 0 | 0 | 258 | 0 | 7100 |
| DING | ringmax | reach | 0 | 0 | 0 | 0 | 0 | 7100 |
| YI | old | shadow | 706 | 237 | 437 | 32 | 0 | 7100 |
| YI | old | named | 431 | 237 | 0 | 194 | 0 | 7100 |
| YI | old | reach | 237 | 237 | 0 | 0 | 0 | 7100 |
| YI | mount | shadow | 636 | 0 | 594 | 42 | 0 | 7100 |
| YI | mount | named | 258 | 0 | 0 | 258 | 0 | 7100 |
| YI | mount | reach | 0 | 0 | 0 | 0 | 0 | 7100 |
| YI | ringmax | shadow | 636 | 0 | 594 | 42 | 0 | 7100 |
| YI | ringmax | named | 258 | 0 | 0 | 258 | 0 | 7100 |
| YI | ringmax | reach | 0 | 0 | 0 | 0 | 0 | 7100 |
| BING_R1 | old | shadow | 734 | 237 | 437 | 60 | 0 | 7100 |
| BING_R1 | old | named | 531 | 237 | 0 | 294 | 0 | 7100 |
| BING_R1 | old | reach | 387 | 237 | 0 | 150 | 0 | 7100 |
| BING_R1 | mount | shadow | 636 | 0 | 594 | 42 | 0 | 7100 |
| BING_R1 | mount | named | 258 | 0 | 0 | 258 | 0 | 7100 |
| BING_R1 | mount | reach | 0 | 0 | 0 | 0 | 0 | 7100 |
| BING_R1 | ringmax | shadow | 636 | 0 | 594 | 42 | 0 | 7100 |
| BING_R1 | ringmax | named | 258 | 0 | 0 | 258 | 0 | 7100 |
| BING_R1 | ringmax | reach | 0 | 0 | 0 | 0 | 0 | 7100 |
| T1_TX_STRICT | old | shadow | 706 | 237 | 437 | 32 | 0 | 7100 |
| T1_TX_STRICT | old | named | 452 | 237 | 0 | 215 | 0 | 7100 |
| T1_TX_STRICT | old | reach | 272 | 237 | 0 | 35 | 0 | 7100 |
| T1_TX_STRICT | mount | shadow | 636 | 0 | 594 | 42 | 0 | 7100 |
| T1_TX_STRICT | mount | named | 258 | 0 | 0 | 258 | 0 | 7100 |
| T1_TX_STRICT | mount | reach | 0 | 0 | 0 | 0 | 0 | 7100 |
| T1_TX_STRICT | ringmax | shadow | 636 | 0 | 594 | 42 | 0 | 7100 |
| T1_TX_STRICT | ringmax | named | 258 | 0 | 0 | 258 | 0 | 7100 |
| T1_TX_STRICT | ringmax | reach | 0 | 0 | 0 | 0 | 0 | 7100 |
| T1_TX_OPT | old | shadow | 826 | 252 | 458 | 116 | 0 | 7100 |
| T1_TX_OPT | old | named | 535 | 252 | 0 | 283 | 0 | 7100 |
| T1_TX_OPT | old | reach | 299 | 252 | 0 | 47 | 0 | 7100 |
| T1_TX_OPT | mount | shadow | 714 | 0 | 618 | 96 | 0 | 7100 |
| T1_TX_OPT | mount | named | 312 | 0 | 0 | 312 | 0 | 7100 |
| T1_TX_OPT | mount | reach | 6 | 0 | 0 | 6 | 0 | 7100 |
| T1_TX_OPT | ringmax | shadow | 708 | 0 | 618 | 90 | 0 | 7100 |
| T1_TX_OPT | ringmax | named | 306 | 0 | 0 | 306 | 0 | 7100 |
| T1_TX_OPT | ringmax | reach | 0 | 0 | 0 | 0 | 0 | 7100 |
| FP_LAST | old | shadow | 448 | 173 | 275 | 0 | 0 | 7100 |
| FP_LAST | old | named | 192 | 173 | 0 | 19 | 0 | 7100 |
| FP_LAST | old | reach | 192 | 173 | 0 | 19 | 0 | 7100 |
| FP_LAST | mount | shadow | 378 | 0 | 378 | 0 | 0 | 7100 |
| FP_LAST | mount | named | 0 | 0 | 0 | 0 | 0 | 7100 |
| FP_LAST | mount | reach | 0 | 0 | 0 | 0 | 0 | 7100 |
| FP_LAST | ringmax | shadow | 378 | 0 | 378 | 0 | 0 | 7100 |
| FP_LAST | ringmax | named | 0 | 0 | 0 | 0 | 0 | 7100 |
| FP_LAST | ringmax | reach | 0 | 0 | 0 | 0 | 0 | 7100 |
| IDXN | old | shadow | 448 | 173 | 275 | 0 | 0 | 7100 |
| IDXN | old | named | 173 | 173 | 0 | 0 | 0 | 7100 |
| IDXN | old | reach | 173 | 173 | 0 | 0 | 0 | 7100 |
| IDXN | mount | shadow | 378 | 0 | 378 | 0 | 0 | 7100 |
| IDXN | mount | named | 0 | 0 | 0 | 0 | 0 | 7100 |
| IDXN | mount | reach | 0 | 0 | 0 | 0 | 0 | 7100 |
| IDXN | ringmax | shadow | 378 | 0 | 378 | 0 | 0 | 7100 |
| IDXN | ringmax | named | 0 | 0 | 0 | 0 | 0 | 7100 |
| IDXN | ringmax | reach | 0 | 0 | 0 | 0 | 0 | 7100 |
| WALK | old | shadow | 500 | 189 | 311 | 0 | 0 | 7100 |
| WALK | old | named | 189 | 189 | 0 | 0 | 0 | 7100 |
| WALK | old | reach | 189 | 189 | 0 | 0 | 0 | 7100 |
| WALK | mount | shadow | 420 | 0 | 420 | 0 | 0 | 7100 |
| WALK | mount | named | 0 | 0 | 0 | 0 | 0 | 7100 |
| WALK | mount | reach | 0 | 0 | 0 | 0 | 0 | 7100 |
| WALK | ringmax | shadow | 420 | 0 | 420 | 0 | 0 | 7100 |
| WALK | ringmax | named | 0 | 0 | 0 | 0 | 0 | 7100 |
| WALK | ringmax | reach | 0 | 0 | 0 | 0 | 0 | 7100 |
| CUR_IMPL | old | shadow | 2980 | 299 | 463 | 2218 | 0 | 7100 |
| CUR_IMPL | old | named | 2679 | 299 | 0 | 2380 | 0 | 7100 |
| CUR_IMPL | old | reach | 2361 | 299 | 0 | 2062 | 0 | 7100 |
| CUR_IMPL | mount | shadow | 2868 | 0 | 618 | 2250 | 0 | 7100 |
| CUR_IMPL | mount | named | 2466 | 0 | 0 | 2466 | 0 | 7100 |
